resources_count,followers_count,honor_score,views_count,likes_count,favorites_count,comments_count,duration,title,embed_url
52,88,261,32776,78,26,10,02:02,云上假期,https://www.djivideos.com/video_play/8e2ea458-02e2-4ebe-8605-8f3dea469daf
36,4611,1645,23342,143,66,18,01:51,INTERCHANGES,https://www.djivideos.com/video_play/5c010004-249c-4755-b6fe-5dc3ac515e9d
36,4611,1645,6785,59,36,6,02:38,SOHO天山广场 Showcase,https://www.djivideos.com/video_play/8e7d9eee-5a5e-49b6-a57e-66eca18c4e24
6,209,216,22113,101,56,9,04:05,INCREDIBLE KRABI | THAILAND,https://www.djivideos.com/video_play/81d4b70e-3275-4319-9f54-8499731c516e
6,209,216,1770,53,23,3,01:44,COASTAL NEW ZEALAND | CASTLEPOINT X CAPE PALLISER,https://www.djivideos.com/video_play/7017a63e-bda9-4e6a-b674-8063faaeb226
6,209,216,22755,86,36,2,03:15,PALAU | WELCOME TO PARADISE,https://www.djivideos.com/video_play/946772e6-6268-4fcf-85dd-419689288c95
10,86,89,36471,95,13,8,01:20,"Manhattan, New York City",https://www.djivideos.com/video_play/0f95163a-6d12-402c-b1c5-026aa052feb5
33,481,1477,60833,194,28,11,01:30,Kellyworks,https://www.djivideos.com/video_play/2c7094e0-9440-4a44-912a-d16c0c307521
75,869,696,95638,246,40,44,04:26,家园HOMELAND,https://www.djivideos.com/video_play/82661efb-8607-4e6f-bcca-2d408bbff8ef
1,44,64,2479,50,22,0,01:50,Winter in Iceland,https://www.djivideos.com/video_play/82aba558-7281-4270-aaf1-29d25ee85d39
2,32,73,1886,35,10,0,01:36,Iceland,https://www.djivideos.com/video_play/748aee18-6717-4f22-b9af-26a2a9dcd90f
9,59,264,1831,46,20,3,02:21,Seafog.mp4,https://www.djivideos.com/video_play/393be085-5429-4cde-be10-06e6f0250e01
41,1726,1390,30667,79,18,6,00:54,The Epic of Tanna - Trailer,https://www.djivideos.com/video_play/2659b3cd-ca44-4f3e-8fea-eafa5b38b1db
3,247,206,48182,278,113,42,04:10,1 Year with the Phantom 4 FINAL FB.mp4,https://www.djivideos.com/video_play/18574b8b-312d-41b9-84d8-5fec94b4e156
1,49,67,4387,91,42,13,03:20,Riding to Work in Rio,https://www.djivideos.com/video_play/e55a5250-b76e-448f-ba8d-1acbde75324b
78,1157,1214,7837,42,32,9,03:42,桂林尧山晨曦,https://www.djivideos.com/video_play/0490a2d1-002d-4a79-855b-28669ffcc242
19,29,172,2075,34,7,5,03:14,"Indonesia, Bali, Seminyak beach",https://www.djivideos.com/video_play/510fd9cd-e688-4545-a9f0-fca9e0d68130
89,822,1186,35672,133,45,15,02:37,海洋.mov,https://www.djivideos.com/video_play/e3cebdc6-3879-4999-a703-bb063fc6818b
76,195,1374,5135,51,16,1,01:36,"Trail Runner - Cordillera Blanca, Ancash Perú",https://www.djivideos.com/video_play/b246f167-8d17-4c05-b074-ad8699c093ff
1,16,62,738,16,4,0,02:15,"Pucón , Chile. South Nature.",https://www.djivideos.com/video_play/ea53d3c9-212a-45d8-8704-01201f47803a
